Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Mounting Style,Package/Case,Logic Family,Logic Type
595-SN74HC595N,SN74HC595N,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/sn74hc595,"72,899  In Stock","=""$1.91""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/SN74HC595N?qs=sGAEpiMZZMv4BkFy%252BbL2aPi%252BL8sNTlmrjsoJHqkbeZM%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SN74HC595N&utm_content=Texas-Instruments,Through Hole,PDIP-16,74HC,CMOS
584-AD734ANZ,AD734ANZ,Analog Devices,https://au.mouser.com/datasheet/2/609/AD734-3118823.pdf,"3,824  In Stock","=""$75.33""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Analog-Devices/AD734ANZ?qs=sGAEpiMZZMv4BkFy%252BbL2aD5NtoTTt1HnyRY9i7p6QdM%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AD734ANZ&utm_content=Analog-Devices,Through Hole,PDIP-14,,
998-MIC58P42YN,MIC58P42YN,Microchip Technology,https://au.mouser.com/datasheet/2/268/mic58p42-1891243.pdf,"1,927  In Stock","=""$14.00""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Microchip-Technology/MIC58P42YN?qs=sGAEpiMZZMv4BkFy%252BbL2aPKkEyhUkf%2FeWn45FVIPivQ%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=MIC58P42YN&utm_content=Microchip-Technology,Through Hole,DIP-18,TTL,CMOS
595-SN74HC08NE4,SN74HC08NE4,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/sn74hc08,"5,525  In Stock","=""$1.17""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/SN74HC08NE4?qs=sGAEpiMZZMv4BkFy%252BbL2aNCWEGkeux7iGKO9H2Spb7c%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SN74HC08NE4&utm_content=Texas-Instruments,Through Hole,PDIP-14,HC,2-Input AND
595-SN74HC86NE4,SN74HC86NE4,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/sn74hc86,"4,219  In Stock","=""$1.57""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/SN74HC86NE4?qs=sGAEpiMZZMv4BkFy%252BbL2aNCWEGkeux7iPEjA91TRfhM%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SN74HC86NE4&utm_content=Texas-Instruments,Through Hole,PDIP-14,HC,2-Input Exclusive-OR
595-CD4099BE,CD4099BE,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/cd4099b,"3,703  In Stock","=""$1.39""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/CD4099BE?qs=sGAEpiMZZMv4BkFy%252BbL2aH7ONpwF%252B6ma%252BxzueEF3ReQ%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CD4099BE&utm_content=Texas-Instruments,Through Hole,PDIP-16,"=""40""",Latch
595-SN74HC574NE4,SN74HC574NE4,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/sn74hc574,"7,554  In Stock","=""$1.39""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/SN74HC574NE4?qs=sGAEpiMZZMv4BkFy%252BbL2aNCWEGkeux7ift7FLUnFeNE%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SN74HC574NE4&utm_content=Texas-Instruments,Through Hole,PDIP-20,HC,D-Type Flip-Flop
595-SN75437ANE,SN75437ANE,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/sn75437a,"9,852  In Stock","=""$4.39""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/SN75437ANE?qs=sGAEpiMZZMv4BkFy%252BbL2aFYGAspmdDdAfnWl0sKx5n0%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SN75437ANE&utm_content=Texas-Instruments,Through Hole,PDIP-16,,
595-SN74LS175NE4,SN74LS175NE4,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/sn74ls175,"3,666  In Stock","=""$1.67""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/SN74LS175NE4?qs=sGAEpiMZZMv4BkFy%252BbL2aJtUL1iLY3rYewZ0g7CjOzA%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SN74LS175NE4&utm_content=Texas-Instruments,Through Hole,PDIP-16,LS,D-Type Flip-Flop
595-CD74AC573E,CD74AC573E,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/cd74ac573,"1,870  In Stock","=""$1.83""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/CD74AC573E?qs=sGAEpiMZZMv4BkFy%252BbL2aD5FVganE%2F0UpDYpU%2FL1Qjw%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CD74AC573E&utm_content=Texas-Instruments,Through Hole,PDIP-20,74AC,Transparent Latch
595-SN74HC240AN,SN74HC240AN,Texas Instruments,https://www.ti.com/lit/ds/symlink/sn74hc240.pdf?ts=1601064195927&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FSN74HC240%253FkeyMatch%253DSN74HC240AN%2526tisearch%253DSearch-EN-everything%2526usecase%253DGPN,"6,413  In Stock","=""$1.88""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/SN74HC240AN?qs=sGAEpiMZZMv4BkFy%252BbL2aIJCK6%252BNtS00Ud5%252B276HAsg%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SN74HC240AN&utm_content=Texas-Instruments,Through Hole,PDIP-20,HC,
595-CD4082BE,CD4082BE,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/cd4082b,"8,264  In Stock","=""$1.20""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/CD4082BE?qs=sGAEpiMZZMv4BkFy%252BbL2aLjln2JxLmGfTRAPT%252B2n8xA%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CD4082BE&utm_content=Texas-Instruments,Through Hole,PDIP-14,CD4000,4-Input AND
595-CD4047BEE4,CD4047BEE4,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/cd4047b,"4,645  In Stock","=""$1.36""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/CD4047BEE4?qs=sGAEpiMZZMv4BkFy%252BbL2aFArZ4jNuqgH72pGNHnv1%2FY%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CD4047BEE4&utm_content=Texas-Instruments,Through Hole,PDIP-14,CD4000,Monostable/Astable Multivibrator
595-SN74HC240N,SN74HC240N,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/sn74hc240,"5,526  In Stock","=""$2.35""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/SN74HC240N?qs=sGAEpiMZZMv4BkFy%252BbL2aH7ONpwF%252B6maP%2FazN0J34iU%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SN74HC240N&utm_content=Texas-Instruments,Through Hole,PDIP-20,HC,CMOS
595-SN74HC595NE4,SN74HC595NE4,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/sn74hc595,"2,410  In Stock","=""$2.59""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/SN74HC595NE4?qs=sGAEpiMZZMv4BkFy%252BbL2aNCWEGkeux7i6VfkKGD%252BhLw%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SN74HC595NE4&utm_content=Texas-Instruments,Through Hole,PDIP-16,74HC,CMOS
595-SN74LS73AN,SN74LS73AN,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/sn74ls73a,"2,534  In Stock","=""$4.10""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/SN74LS73AN?qs=sGAEpiMZZMv4BkFy%252BbL2aJtUL1iLY3rYYq5R4dE6bn4%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SN74LS73AN&utm_content=Texas-Instruments,Through Hole,PDIP-14,LS,J-K Type Flip-Flop
595-CD4028BEE4,CD4028BEE4,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/cd4028b,"4,600  In Stock","=""$1.47""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/CD4028BEE4?qs=sGAEpiMZZMv4BkFy%252BbL2aLE5ucOxGSalTQ0Q%252B7A6Ri0%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CD4028BEE4&utm_content=Texas-Instruments,Through Hole,PDIP-16,CD4000,Decoders/Demultiplexers
595-SN74ALS109AN,SN74ALS109AN,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/sn74als109a,"2,136  In Stock","=""$3.08""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/SN74ALS109AN?qs=sGAEpiMZZMv4BkFy%252BbL2aIQSO91Dfn1vgZDYw1eanbQ%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SN74ALS109AN&utm_content=Texas-Instruments,Through Hole,PDIP-16,ALS,J-K Type Flip-Flop
595-SN74HC165NE4,SN74HC165NE4,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/sn74hc165,"2,904  In Stock","=""$2.19""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/SN74HC165NE4?qs=sGAEpiMZZMv4BkFy%252BbL2aNCWEGkeux7ikuQidn816Vk%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SN74HC165NE4&utm_content=Texas-Instruments,Through Hole,PDIP-16,74HC,CMOS
595-SN74HC138NE4,SN74HC138NE4,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/sn74hc138,"3,758  In Stock","=""$2.01""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/SN74HC138NE4?qs=sGAEpiMZZMv4BkFy%252BbL2aNCWEGkeux7igzsqjoUqR2M%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SN74HC138NE4&utm_content=Texas-Instruments,Through Hole,PDIP-16,HC,Decoders/Demultiplexers
998-MIC5891YN,MIC5891YN,Microchip Technology,https://au.mouser.com/datasheet/2/268/MIC5891_8_Bit_Serial_Input_Latched_Source_Driver_D-2930405.pdf,"11,106  In Stock","=""$4.83""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Microchip-Technology/MIC5891YN?qs=sGAEpiMZZMv4BkFy%252BbL2aPKkEyhUkf%2Fe%252BZt2Jj66xCs%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=MIC5891YN&utm_content=Microchip-Technology,Through Hole,PDIP-16,TTL,CMOS
595-SN74LS374N,SN74LS374N,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/sn74ls374,"18,909  In Stock","=""$2.01""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/SN74LS374N?qs=sGAEpiMZZMv4BkFy%252BbL2aH7ONpwF%252B6maz0R9zoGYTsQ%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SN74LS374N&utm_content=Texas-Instruments,Through Hole,PDIP-20,LS,Transparent D-Type Latch
595-CD4093BE,CD4093BE,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/cd4093b,"59,831  In Stock","=""$0.794""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/CD4093BE?qs=sGAEpiMZZMv4BkFy%252BbL2aLjln2JxLmGfEsi94Y3ZJrk%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CD4093BE&utm_content=Texas-Instruments,Through Hole,PDIP-14,CD4000,CMOS
579-MCP2120IP,MCP2120-I/P,Microchip Technology,https://au.mouser.com/datasheet/2/268/21618a-74706.pdf,"1,699  In Stock","=""$2.27""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Microchip-Technology/MCP2120-I-P?qs=sGAEpiMZZMv4BkFy%252BbL2aK%252BXD7B8chintVRJ%2Fc4c0ac%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=MCP2120-I%2FP&utm_content=Microchip-Technology,Through Hole,PDIP-14,IrDA,
595-CD74AC273E,CD74AC273E,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/cd74ac273,"3,998  In Stock","=""$2.59""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/CD74AC273E?qs=sGAEpiMZZMv4BkFy%252BbL2aBK9FLg9rzFyecAiXUrk9BI%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CD74AC273E&utm_content=Texas-Instruments,Through Hole,PDIP-20,AC,D-Type Flip-Flop
